card_name	set_name	printing
Peace of Mind	Exodus	
Soltari Trooper	Tempest	
Aspect of Hydra	Born of the Gods	
Disrupt	Weatherlight	
Disrupt	Weatherlight	
Incinerate	Ice Age	
Incinerate	Ice Age	
Incinerate	Ice Age	
Incinerate	Ice Age	
Necratog	Weatherlight	
Disrupt	Weatherlight	
Treasure Cruise	Khans of Tarkir	
Treasure Cruise	Khans of Tarkir	
Moss Diamond	Mirage	
Tawnos's Wand	Fourth Edition	
Lim-Dul's Paladin	Alliances	
Joraga Invocation	Magic Origins	
Totem-Guide Hartebeest	Magic Origins	
Turn to Frog	Magic Origins	
Treasure Cruise	Khans of Tarkir	
Simulacrum	Fourth Edition	
Wall of Bone	Fourth Edition	
Blightcaster	Magic Origins	
Treasure Cruise	Khans of Tarkir	
Retreat to Emeria	Battle for Zendikar	
Dampening Pulse	Battle for Zendikar	
Slab Hammer	Battle for Zendikar	
Psychic Rebuttal	Magic Origins	
Necromantic Summons	Magic Origins	
Fiery Conclusion	Magic Origins	
Bloodbond Vampire	Battle for Zendikar	
Vitalize	Weatherlight	
Bonds of Mortality	Oath of the Gatewatch	
Bonds of Mortality	Oath of the Gatewatch	
Nissa's Judgment	Oath of the Gatewatch	
Mountain (268)	Battle for Zendikar	
Evolving Wilds	Dragons of Tarkir	
Temur Charm	Khans of Tarkir	
Dazzling Ramparts	Khans of Tarkir	
Dazzling Ramparts	Khans of Tarkir	
Echoes of the Kin Tree	Dragons of Tarkir	
Meletis Astronomer	Born of the Gods	
Rite of Undoing	Fate Reforged	
Acid-Spewer Dragon	Dragons of Tarkir	
Hungering Yeti	Fate Reforged	
Pilgrim of the Fires	Fate Reforged	
Segovian Leviathan	Fourth Edition	
Thalakos Dreamsower	Tempest	
Thalakos Dreamsower	Tempest	
Erhnam Djinn	Chronicles	
Erhnam Djinn	Chronicles	
Erhnam Djinn	Chronicles	
Erhnam Djinn	Chronicles	
Frog Tongue	Tempest	
Frog Tongue	Tempest	
Unyaro Bee Sting	Mirage	
Lim-Dul's Hex	Ice Age	
Ravenous Vampire	Mirage	
Reckless Spite	Tempest	
Uncle Istvan	Fourth Edition	
Uncle Istvan	Fourth Edition	
Uncle Istvan	Fourth Edition	
Cinder Cloud	Mirage	
Cinder Cloud	Mirage	
